property_temp,timestamp,unit_of_measure_weather,temperature,weather_station_agency,weather_station_id,metering_point_id,property,unit_of_measure,value,consumption_from,consumption_to,consumption_value
temperature,2016-04-16,C,7.0888342063,local,TDS9,TDS9,energy,MWh,2812.32,2016-04-15,2016-04-16,2.150000000000091
temperature,2016-04-16,C,7.0888342063,local,TDS9,TDS9,flow,m3,41714.6,2016-04-15,2016-04-16,29.900000000001455
temperature,2016-04-17,C,8.1406505903,local,TDS9,TDS9,energy,MWh,2814.57,2016-04-16,2016-04-17,2.25
temperature,2016-04-17,C,8.1406505903,local,TDS9,TDS9,flow,m3,41746.2,2016-04-16,2016-04-17,31.599999999998545
temperature,2016-04-18,C,5.8037472467,local,TDS9,TDS9,energy,MWh,2817.23,2016-04-17,2016-04-18,2.6599999999998545
temperature,2016-04-18,C,5.8037472467,local,TDS9,TDS9,flow,m3,41786.6,2016-04-17,2016-04-18,40.400000000001455
temperature,2016-04-19,C,7.1287754178,local,TDS9,TDS9,energy,MWh,2819.74,2016-04-18,2016-04-19,2.5099999999997635
temperature,2016-04-19,C,7.1287754178,local,TDS9,TDS9,flow,m3,41821.7,2016-04-18,2016-04-19,35.099999999998545
temperature,2016-04-20,C,8.3121985594,local,TDS9,TDS9,energy,MWh,2821.74,2016-04-19,2016-04-20,2
temperature,2016-04-20,C,8.3121985594,local,TDS9,TDS9,flow,m3,41850.2,2016-04-19,2016-04-20,28.5
temperature,2016-04-21,C,7.710127155,local,TDS9,TDS9,energy,MWh,2822.57,2016-04-20,2016-04-21,0.830000000000382
temperature,2016-04-21,C,7.710127155,local,TDS9,TDS9,flow,m3,41864.9,2016-04-20,2016-04-21,14.700000000004366
temperature,2016-04-22,C,7.4451261957,local,TDS9,TDS9,energy,MWh,2824.74,2016-04-21,2016-04-22,2.169999999999618
temperature,2016-04-22,C,7.4451261957,local,TDS9,TDS9,flow,m3,41897.3,2016-04-21,2016-04-22,32.400000000001455
temperature,2016-04-23,C,7.5847639044,local,TDS9,TDS9,energy,MWh,2827.22,2016-04-22,2016-04-23,2.480000000000018
temperature,2016-04-23,C,7.5847639044,local,TDS9,TDS9,flow,m3,41938.7,2016-04-22,2016-04-23,41.39999999999418
temperature,2016-04-24,C,4.9860459119,local,TDS9,TDS9,energy,MWh,2829.86,2016-04-23,2016-04-24,2.6400000000003274
temperature,2016-04-24,C,4.9860459119,local,TDS9,TDS9,flow,m3,41981.1,2016-04-23,2016-04-24,42.400000000001455
temperature,2016-04-25,C,3.0943141046,local,TDS9,TDS9,energy,MWh,2832.75,2016-04-24,2016-04-25,2.8899999999998727
temperature,2016-04-25,C,3.0943141046,local,TDS9,TDS9,flow,m3,42031.3,2016-04-24,2016-04-25,50.200000000004366
temperature,2016-04-26,C,3.1805838989,local,TDS9,TDS9,energy,MWh,2835.52,2016-04-25,2016-04-26,2.769999999999982
temperature,2016-04-26,C,3.1805838989,local,TDS9,TDS9,flow,m3,42072,2016-04-25,2016-04-26,40.69999999999709
temperature,2016-04-27,C,5.8783960044,local,TDS9,TDS9,energy,MWh,2837.95,2016-04-26,2016-04-27,2.4299999999998363
temperature,2016-04-27,C,5.8783960044,local,TDS9,TDS9,flow,m3,42104.9,2016-04-26,2016-04-27,32.900000000001455
temperature,2016-04-28,C,5.4690970778,local,TDS9,TDS9,energy,MWh,2840.47,2016-04-27,2016-04-28,2.519999999999982
temperature,2016-04-28,C,5.4690970778,local,TDS9,TDS9,flow,m3,42144.2,2016-04-27,2016-04-28,39.299999999995634
temperature,2016-04-29,C,5.0469872753,local,TDS9,TDS9,energy,MWh,2843.08,2016-04-28,2016-04-29,2.6100000000001273
temperature,2016-04-29,C,5.0469872753,local,TDS9,TDS9,flow,m3,42182.4,2016-04-28,2016-04-29,38.200000000004366
temperature,2016-04-30,C,7.3741164207,local,TDS9,TDS9,energy,MWh,2845.32,2016-04-29,2016-04-30,2.2400000000002365
temperature,2016-04-30,C,7.3741164207,local,TDS9,TDS9,flow,m3,42211.3,2016-04-29,2016-04-30,28.900000000001455
temperature,2016-05-01,C,8.323423485,local,TDS9,TDS9,energy,MWh,2847.49,2016-04-30,2016-05-01,2.169999999999618
temperature,2016-05-01,C,8.323423485,local,TDS9,TDS9,flow,m3,42240.7,2016-04-30,2016-05-01,29.39999999999418
temperature,2016-05-02,C,7.9823040366,local,TDS9,TDS9,energy,MWh,2849.87,2016-05-01,2016-05-02,2.380000000000109
temperature,2016-05-02,C,7.9823040366,local,TDS9,TDS9,flow,m3,42272.7,2016-05-01,2016-05-02,32
temperature,2016-05-03,C,9.7107779086,local,TDS9,TDS9,energy,MWh,2851.59,2016-05-02,2016-05-03,1.7200000000002547
temperature,2016-05-03,C,9.7107779086,local,TDS9,TDS9,flow,m3,42296.9,2016-05-02,2016-05-03,24.200000000004366
temperature,2016-05-04,C,10.5068655809,local,TDS9,TDS9,energy,MWh,2852.91,2016-05-03,2016-05-04,1.319999999999709
temperature,2016-05-04,C,10.5068655809,local,TDS9,TDS9,flow,m3,42314.4,2016-05-03,2016-05-04,17.5
temperature,2016-05-05,C,9.4031525056,local,TDS9,TDS9,energy,MWh,2854.67,2016-05-04,2016-05-05,1.7600000000002183
temperature,2016-05-05,C,9.4031525056,local,TDS9,TDS9,flow,m3,42340,2016-05-04,2016-05-05,25.599999999998545
temperature,2016-05-06,C,9.1398814619,local,TDS9,TDS9,energy,MWh,2856.07,2016-05-05,2016-05-06,1.400000000000091
temperature,2016-05-06,C,9.1398814619,local,TDS9,TDS9,flow,m3,42362.2,2016-05-05,2016-05-06,22.19999999999709
temperature,2016-05-07,C,11.4981984297,local,TDS9,TDS9,energy,MWh,2857.35,2016-05-06,2016-05-07,1.2799999999997453
temperature,2016-05-07,C,11.4981984297,local,TDS9,TDS9,flow,m3,42381.6,2016-05-06,2016-05-07,19.400000000001455
temperature,2016-05-08,C,15.8464925687,local,TDS9,TDS9,energy,MWh,2858.54,2016-05-07,2016-05-08,1.1900000000000546
temperature,2016-05-08,C,15.8464925687,local,TDS9,TDS9,flow,m3,42396.9,2016-05-07,2016-05-08,15.30000000000291
temperature,2016-05-09,C,17.2564634879,local,TDS9,TDS9,energy,MWh,2859.65,2016-05-08,2016-05-09,1.1100000000001273
temperature,2016-05-09,C,17.2564634879,local,TDS9,TDS9,flow,m3,42412.2,2016-05-08,2016-05-09,15.299999999995634
temperature,2016-05-10,C,17.1416474978,local,TDS9,TDS9,energy,MWh,2860.76,2016-05-09,2016-05-10,1.1100000000001273
temperature,2016-05-10,C,17.1416474978,local,TDS9,TDS9,flow,m3,42427.7,2016-05-09,2016-05-10,15.5
temperature,2016-05-11,C,18.7252113819,local,TDS9,TDS9,energy,MWh,2861.85,2016-05-10,2016-05-11,1.0899999999996908
temperature,2016-05-11,C,18.7252113819,local,TDS9,TDS9,flow,m3,42443.2,2016-05-10,2016-05-11,15.5
temperature,2016-05-12,C,16.7708658775,local,TDS9,TDS9,energy,MWh,2862.96,2016-05-11,2016-05-12,1.1100000000001273
temperature,2016-05-12,C,16.7708658775,local,TDS9,TDS9,flow,m3,42459.9,2016-05-11,2016-05-12,16.700000000004366
temperature,2016-05-13,C,14.5665765206,local,TDS9,TDS9,energy,MWh,2864.05,2016-05-12,2016-05-13,1.0900000000001455
temperature,2016-05-13,C,14.5665765206,local,TDS9,TDS9,flow,m3,42475.8,2016-05-12,2016-05-13,15.900000000001455
temperature,2016-05-14,C,12.466336747,local,TDS9,TDS9,energy,MWh,2865.13,2016-05-13,2016-05-14,1.0799999999999272
temperature,2016-05-14,C,12.466336747,local,TDS9,TDS9,flow,m3,42490.9,2016-05-13,2016-05-14,15.099999999998545
temperature,2016-05-15,C,6.8070922494,local,TDS9,TDS9,energy,MWh,2866.95,2016-05-14,2016-05-15,1.819999999999709
temperature,2016-05-15,C,6.8070922494,local,TDS9,TDS9,flow,m3,42519.5,2016-05-14,2016-05-15,28.599999999998545
temperature,2016-05-16,C,8.5914460023,local,TDS9,TDS9,energy,MWh,2868.8,2016-05-15,2016-05-16,1.8500000000003638
temperature,2016-05-16,C,8.5914460023,local,TDS9,TDS9,flow,m3,42547.9,2016-05-15,2016-05-16,28.400000000001455
temperature,2016-05-17,C,10.179664433,local,TDS9,TDS9,energy,MWh,2870.46,2016-05-16,2016-05-17,1.6599999999998545
temperature,2016-05-17,C,10.179664433,local,TDS9,TDS9,flow,m3,42571.5,2016-05-16,2016-05-17,23.599999999998545
temperature,2016-05-18,C,10.995502313,local,TDS9,TDS9,energy,MWh,2871.86,2016-05-17,2016-05-18,1.400000000000091
temperature,2016-05-18,C,10.995502313,local,TDS9,TDS9,flow,m3,42590.5,2016-05-17,2016-05-18,19
temperature,2016-05-19,C,11.1638932625,local,TDS9,TDS9,energy,MWh,2873.03,2016-05-18,2016-05-19,1.1700000000000728
temperature,2016-05-19,C,11.1638932625,local,TDS9,TDS9,flow,m3,42607.1,2016-05-18,2016-05-19,16.599999999998545
temperature,2016-05-20,C,13.0894563198,local,TDS9,TDS9,energy,MWh,2874.11,2016-05-19,2016-05-20,1.0799999999999272
temperature,2016-05-20,C,13.0894563198,local,TDS9,TDS9,flow,m3,42621.6,2016-05-19,2016-05-20,14.5
temperature,2016-05-21,C,12.80801332,local,TDS9,TDS9,energy,MWh,2875.17,2016-05-20,2016-05-21,1.0599999999999454
temperature,2016-05-21,C,12.80801332,local,TDS9,TDS9,flow,m3,42636.4,2016-05-20,2016-05-21,14.80000000000291
temperature,2016-05-22,C,12.3214424849,local,TDS9,TDS9,energy,MWh,2876.42,2016-05-21,2016-05-22,1.25
temperature,2016-05-22,C,12.3214424849,local,TDS9,TDS9,flow,m3,42653.8,2016-05-21,2016-05-22,17.400000000001455
temperature,2016-05-23,C,17.9206508795,local,TDS9,TDS9,energy,MWh,2877.57,2016-05-22,2016-05-23,1.150000000000091
temperature,2016-05-23,C,17.9206508795,local,TDS9,TDS9,flow,m3,42669.6,2016-05-22,2016-05-23,15.799999999995634
temperature,2016-05-24,C,16.1930202246,local,TDS9,TDS9,energy,MWh,2878.63,2016-05-23,2016-05-24,1.0599999999999454
temperature,2016-05-24,C,16.1930202246,local,TDS9,TDS9,flow,m3,42685.1,2016-05-23,2016-05-24,15.5
